Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
03/10/19,16:39,23.688,17.37,20.03
03/10/19,16:55,23.695,198.25,18.85
03/10/19,17:00,20.761,50.38,20.43
03/10/19,17:05,21.504,62.14,19.77
03/10/19,17:10,22.235,195.25,20.30
03/10/19,17:15,19.831,171.67,20.61
03/10/19,17:20,19.772,166.92,20.85
03/10/19,17:25,25.741,170.70,20.56
03/10/19,17:30,24.211,191.93,20.52
03/10/19,17:35,21.4,162.71,20.57
03/10/19,17:40,21.736,24.10,18.06
03/10/19,17:45,21.893,158.02,20.74
03/10/19,17:50,26.356,175.83,20.77
03/10/19,17:55,24.689,189.48,19.49
03/10/19,18:00,41.675,24.61,12.27
03/10/19,18:05,70.201,161.54,15.52
03/10/19,18:10,42.23,9.90,6.06
03/10/19,18:15,20.474,165.69,20.66
03/10/19,18:20,23.069,27.49,19.32
03/10/19,18:25,20.139,48.68,13.14
03/10/19,18:30,21.168,181.50,20.42
03/10/19,18:35,28.687,159.49,13.25
03/10/19,18:40,19.92,190.09,20.39
03/10/19,18:45,19.091,169.64,20.47
03/10/19,18:50,40.375,2.89,10.11
03/10/19,18:55,27.913,5.12,15.37
03/10/19,19:00,20.918,180.85,20.52
03/10/19,19:05,19.981,90.05,15.42
03/10/19,19:10,21.427,185.05,20.60
03/10/19,19:15,54.799,95.30,11.77
03/10/19,19:20,25.302,190.53,20.71
03/10/19,19:25,24.804,160.13,20.37
03/10/19,19:30,21.573,6.33,14.23
03/10/19,19:35,21.849,4.93,4.44
03/10/19,19:40,22.495,187.36,20.49
03/10/19,19:45,21.557,178.00,13.82
03/10/19,19:50,33.248,140.08,17.02
03/10/19,19:55,23.847,31.83,13.36
03/10/19,20:00,20.158,34.34,11.72
03/10/19,20:05,19.09,194.67,20.27
03/10/19,20:10,27.427,41.83,19.22
03/10/19,20:15,26.616,195.70,20.68
03/10/19,20:20,26.528,195.59,20.11
03/10/19,20:25,24.964,190.43,20.63
03/10/19,20:30,27.194,52.10,20.18
03/10/19,20:35,27.273,193.21,20.39
03/10/19,20:40,25.721,9.74,20.29
03/10/19,20:45,28.394,191.92,20.33
03/10/19,20:50,24.89,197.64,20.51
03/10/19,20:55,25.118,186.78,20.31
03/10/19,21:00,21.868,190.91,20.48
03/10/19,21:05,21.003,186.70,20.60
03/10/19,21:10,24.204,192.02,20.19
03/10/19,21:15,23.671,181.53,20.31
03/10/19,21:20,23.879,160.13,16.36
03/10/19,21:25,25.407,193.48,19.21
03/10/19,21:30,23.509,187.45,20.58
03/10/19,21:35,27.004,13.60,20.39
03/10/19,21:40,21.948,179.30,20.36
03/10/19,21:45,25.176,174.43,20.22
03/10/19,21:50,29.236,118.57,20.12
